Producto;Usuario;Día;Turno;Avance_turno;Abosorción;TargetC
TIPO K;MauricioM;miércoles;Tarde;Inicio;0.485;Sobrepeso
TIPO K;MauricioM;miércoles;Tarde;Inicio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Medio;0.485;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;DivisorA;lunes;Noche;Término;0.484;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;lunes;Mañana;Inicio;0.502;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Medio;0.485;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Medio;0.485;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Mañana;Término;0.487;Sobrepeso
TIPO K;MauricioM;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;miércoles;Tarde;Inicio;0.487;Sobrepeso
