Producto;Día;User Name;Value;Turno;Avance_turno
TIPO K;lunes;DivisorA;91,4;Noche;Término
TIPO K;lunes;DivisorA;87,6;Noche;Término
TIPO K;lunes;DivisorA;88,6;Noche;Término
TIPO K;lunes;DivisorA;91,8;Noche;Término
TIPO K;lunes;DivisorA;87,2;Noche;Término
TIPO K;lunes;DivisorA;88,8;Noche;Término
TIPO K;lunes;DivisorA;88;Noche;Término
TIPO K;lunes;DivisorA;88,8;Noche;Término
TIPO K;lunes;DivisorA;91,8;Noche;Término
TIPO K;lunes;DivisorA;88,2;Noche;Término
TIPO K;lunes;DivisorA;88,2;Noche;Término
TIPO K;lunes;DivisorA;90,4;Noche;Término
TIPO K;lunes;DivisorA;90,4;Noche;Término
TIPO K;lunes;DivisorA;88,2;Noche;Término
TIPO K;lunes;DivisorA;88;Noche;Término
TIPO K;lunes;MauricioM;90,4;Mañana;Inicio
TIPO K;lunes;MauricioM;93;Mañana;Inicio
TIPO K;lunes;MauricioM;88,8;Mañana;Inicio
TIPO K;lunes;MauricioM;90,4;Mañana;Inicio
TIPO K;lunes;MauricioM;89,6;Mañana;Inicio
TIPO K;lunes;MauricioM;91,4;Mañana;Inicio
TIPO K;lunes;MauricioM;89,8;Mañana;Inicio
TIPO K;lunes;MauricioM;91,6;Mañana;Inicio
TIPO K;lunes;MauricioM;92,8;Mañana;Inicio
TIPO K;lunes;MauricioM;89,8;Mañana;Inicio
TIPO K;lunes;MauricioM;89;Mañana;Inicio
TIPO K;lunes;MauricioM;88,8;Mañana;Inicio
TIPO K;miércoles;MauricioM;93,6;Mañana;Medio
TIPO K;miércoles;MauricioM;92,2;Mañana;Medio
TIPO K;miércoles;MauricioM;93,4;Mañana;Término
TIPO K;miércoles;MauricioM;92,8;Mañana;Término
TIPO K;miércoles;MauricioM;89;Mañana;Término
TIPO K;miércoles;MauricioM;91,2;Mañana;Término
TIPO K;miércoles;MauricioM;87,2;Mañana;Término
TIPO K;miércoles;MauricioM;87,6;Mañana;Término
TIPO K;miércoles;MauricioM;90,2;Mañana;Término
TIPO K;miércoles;MauricioM;90,4;Mañana;Término
TIPO K;miércoles;MauricioM;92;Mañana;Término
TIPO K;miércoles;MauricioM;91;Mañana;Término
TIPO K;miércoles;MauricioM;92;Tarde;Inicio
TIPO K;miércoles;BernardoA;88,4;Tarde;Inicio
TIPO K;miércoles;BernardoA;88,4;Tarde;Inicio
TIPO K;miércoles;BernardoA;92,8;Tarde;Inicio
TIPO K;miércoles;Practicante;90,4;Tarde;Inicio
TIPO K;miércoles;Practicante;89,8;Tarde;Inicio
TIPO K;miércoles;Practicante;89,8;Tarde;Inicio
TIPO K;miércoles;Practicante;89,8;Tarde;Inicio
TIPO K;miércoles;Practicante;92,6;Tarde;Inicio
TIPO K;miércoles;Practicante;88;Tarde;Inicio
TIPO K;miércoles;Practicante;90,4;Tarde;Inicio
TIPO K;miércoles;Practicante;91,6;Tarde;Inicio
TIPO K;miércoles;Practicante;89,8;Tarde;Inicio
TIPO K;miércoles;Practicante;89,8;Tarde;Inicio
TIPO K;miércoles;BernardoA;89,2;Tarde;Inicio
TIPO K;miércoles;BernardoA;89,2;Tarde;Inicio
TIPO K;miércoles;BernardoA;89,6;Tarde;Inicio
