Producto,Día,User Name,Value,Turno,Avance_turno
GRANDOTA,jueves,BernardoA,88.4,Noche,Término
GRANDOTA,jueves,BernardoA,88.2,Noche,Término
GRANDOTA,jueves,BernardoA,89.2,Noche,Término
GRANDOTA,jueves,BernardoA,88.2,Noche,Término
GRANDOTA,jueves,BernardoA,89.2,Noche,Término
GRANDOTA,jueves,BernardoA,86.2,Noche,Término
GRANDOTA,jueves,BernardoA,82.8,Mañana,Inicio
GRANDOTA,jueves,BernardoA,88.6,Mañana,Inicio
GRANDOTA,jueves,DivisorA,89.4,Mañana,Inicio
GRANDOTA,jueves,DivisorA,90.6,Mañana,Inicio
GRANDOTA,jueves,DivisorA,90.6,Mañana,Inicio
GRANDOTA,jueves,DivisorA,91,Mañana,Inicio
GRANDOTA,jueves,DivisorA,87.8,Mañana,Inicio
GRANDOTA,jueves,DivisorA,88.8,Mañana,Inicio
GRANDOTA,jueves,DivisorA,87.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,92.8,Mañana,Medio
GRANDOTA,jueves,DivisorA,91,Mañana,Medio
GRANDOTA,jueves,DivisorA,93,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,92.4,Mañana,Medio
GRANDOTA,jueves,DivisorA,90.2,Mañana,Medio
GRANDOTA,jueves,DivisorA,90.4,Mañana,Medio
GRANDOTA,jueves,DivisorA,92,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,88.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.2,Mañana,Medio
GRANDOTA,jueves,DivisorA,92,Mañana,Medio
GRANDOTA,jueves,DivisorA,92.2,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.4,Mañana,Medio
GRANDOTA,jueves,DivisorA,91.8,Mañana,Medio
GRANDOTA,jueves,DivisorA,90.8,Mañana,Medio
GRANDOTA,jueves,DivisorA,89.6,Mañana,Medio
GRANDOTA,jueves,DivisorA,90.4,Mañana,Medio
GRANDOTA,jueves,DivisorA,89,Mañana,Medio
GRANDOTA,jueves,DivisorA,89,Mañana,Medio
GRANDOTA,jueves,DivisorA,90,Mañana,Medio
GRANDOTA,jueves,DivisorA,90,Mañana,Medio
GRANDOTA,jueves,DivisorA,89.6,Mañana,Medio
GRANDOTA,jueves,Practicante,90.4,Mañana,Medio
GRANDOTA,jueves,Practicante,90.2,Mañana,Medio
GRANDOTA,jueves,Practicante,90.8,Mañana,Medio
GRANDOTA,jueves,Practicante,89,Mañana,Medio
GRANDOTA,jueves,Practicante,88.8,Mañana,Medio
GRANDOTA,jueves,Practicante,90.6,Mañana,Medio
GRANDOTA,jueves,Practicante,92.4,Mañana,Medio
GRANDOTA,jueves,Practicante,92.8,Mañana,Medio
GRANDOTA,jueves,Practicante,92.2,Mañana,Medio
GRANDOTA,jueves,Practicante,89,Mañana,Medio
GRANDOTA,jueves,Practicante,89.4,Mañana,Medio
GRANDOTA,jueves,Practicante,86.8,Mañana,Medio
GRANDOTA,jueves,DivisorA,91,Mañana,Término
GRANDOTA,jueves,DivisorA,91.2,Mañana,Término
GRANDOTA,jueves,DivisorA,89.2,Mañana,Término
GRANDOTA,jueves,DivisorA,90.4,Mañana,Término
GRANDOTA,jueves,DivisorA,91.2,Mañana,Término
GRANDOTA,jueves,DivisorA,91,Mañana,Término
GRANDOTA,jueves,DivisorA,92.2,Mañana,Término
GRANDOTA,jueves,DivisorA,91.2,Mañana,Término
GRANDOTA,jueves,DivisorA,94,Mañana,Término
GRANDOTA,jueves,DivisorA,91.4,Mañana,Término
GRANDOTA,jueves,DivisorA,90,Mañana,Término
GRANDOTA,jueves,DivisorA,92.6,Mañana,Término
GRANDOTA,jueves,DivisorA,90,Mañana,Término
GRANDOTA,jueves,DivisorA,90,Mañana,Término
GRANDOTA,jueves,DivisorA,87.4,Mañana,Término
GRANDOTA,jueves,DivisorA,88.8,Mañana,Término
GRANDOTA,jueves,DivisorA,90.2,Mañana,Término
GRANDOTA,jueves,DivisorA,88.8,Mañana,Término
GRANDOTA,jueves,DivisorA,91.4,Mañana,Término
GRANDOTA,jueves,DivisorA,90.8,Mañana,Término
GRANDOTA,viernes,MauricioM,91.4,Tarde,Inicio
GRANDOTA,viernes,MauricioM,91.2,Tarde,Inicio
GRANDOTA,viernes,BernardoA,89.8,Tarde,Inicio
GRANDOTA,viernes,BernardoA,86.6,Tarde,Inicio
GRANDOTA,viernes,BernardoA,90.6,Tarde,Inicio
GRANDOTA,viernes,BernardoA,89.2,Tarde,Inicio
GRANDOTA,viernes,BernardoA,91,Tarde,Inicio
GRANDOTA,viernes,BernardoA,91.2,Tarde,Inicio
GRANDOTA,viernes,BernardoA,89.8,Tarde,Inicio
GRANDOTA,viernes,BernardoA,89,Tarde,Inicio
GRANDOTA,viernes,BernardoA,89,Tarde,Inicio
GRANDOTA,viernes,BernardoA,88.6,Tarde,Inicio
GRANDOTA,miércoles,BernardoA,91.6,Tarde,Inicio
GRANDOTA,miércoles,BernardoA,91.8,Tarde,Medio
GRANDOTA,miércoles,BernardoA,89.4,Tarde,Medio
GRANDOTA,miércoles,BernardoA,88.2,Tarde,Medio
GRANDOTA,miércoles,BernardoA,92.4,Tarde,Término
GRANDOTA,miércoles,BernardoA,91.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,92.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,89.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,90.6,Tarde,Término
GRANDOTA,miércoles,BernardoA,86.6,Tarde,Término
GRANDOTA,miércoles,BernardoA,90.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,87.8,Tarde,Término
GRANDOTA,miércoles,BernardoA,89.2,Tarde,Término
GRANDOTA,miércoles,BernardoA,89,Tarde,Término
GRANDOTA,miércoles,BernardoA,89.2,Tarde,Término
GRANDOTA,miércoles,BernardoA,88.4,Tarde,Término
GRANDOTA,miércoles,BernardoA,92,Tarde,Término
GRANDOTA,miércoles,BernardoA,87.2,Noche,Inicio
GRANDOTA,miércoles,BernardoA,89.8,Noche,Inicio
GRANDOTA,jueves,DivisorA,90.2,Noche,Inicio
GRANDOTA,jueves,DivisorA,87.6,Noche,Inicio
GRANDOTA,jueves,DivisorA,88,Noche,Medio
GRANDOTA,jueves,DivisorA,87.6,Noche,Medio
GRANDOTA,jueves,DivisorA,89.6,Noche,Medio
GRANDOTA,jueves,DivisorA,88.4,Noche,Medio
GRANDOTA,jueves,DivisorA,86.6,Noche,Medio
GRANDOTA,jueves,DivisorA,88.6,Noche,Medio
GRANDOTA,jueves,DivisorA,93.8,Noche,Medio
GRANDOTA,jueves,DivisorA,88.6,Noche,Término
GRANDOTA,jueves,DivisorA,90.4,Noche,Término
GRANDOTA,jueves,DivisorA,90,Noche,Término
GRANDOTA,jueves,DivisorA,89.2,Noche,Término
GRANDOTA,jueves,DivisorA,87.4,Noche,Término
GRANDOTA,jueves,DivisorA,87,Noche,Término
GRANDOTA,jueves,DivisorA,87,Noche,Término
GRANDOTA,jueves,DivisorA,90.8,Noche,Término
GRANDOTA,jueves,DivisorA,91.6,Noche,Término
GRANDOTA,jueves,DivisorA,88.2,Noche,Término
GRANDOTA,jueves,DivisorA,90.2,Noche,Término
GRANDOTA,jueves,DivisorA,90,Noche,Término
GRANDOTA,jueves,MauricioM,89.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,94.6,Mañana,Inicio
GRANDOTA,jueves,MauricioM,91,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.2,Mañana,Inicio
GRANDOTA,jueves,MauricioM,91.6,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.6,Mañana,Inicio
GRANDOTA,jueves,MauricioM,91.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,91.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,93,Mañana,Inicio
GRANDOTA,jueves,MauricioM,93.6,Mañana,Inicio
GRANDOTA,jueves,MauricioM,89.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,93.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,89.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,91.4,Mañana,Inicio
GRANDOTA,jueves,MauricioM,90.8,Mañana,Inicio
GRANDOTA,jueves,Practicante,90.2,Mañana,Medio
GRANDOTA,jueves,Practicante,90,Mañana,Medio
GRANDOTA,jueves,Practicante,90,Mañana,Medio
GRANDOTA,jueves,Practicante,93.6,Mañana,Medio
GRANDOTA,jueves,Practicante,88.2,Mañana,Medio
GRANDOTA,jueves,Practicante,87.4,Mañana,Medio
GRANDOTA,jueves,Practicante,89,Mañana,Medio
GRANDOTA,jueves,Practicante,93.4,Mañana,Medio
GRANDOTA,jueves,BernardoA,91,Tarde,Inicio
GRANDOTA,jueves,BernardoA,86.6,Tarde,Inicio
GRANDOTA,jueves,BernardoA,91,Tarde,Inicio
GRANDOTA,jueves,BernardoA,88.2,Tarde,Inicio
GRANDOTA,jueves,BernardoA,92.2,Tarde,Inicio
GRANDOTA,jueves,BernardoA,91,Tarde,Inicio
GRANDOTA,jueves,BernardoA,88.6,Tarde,Inicio
GRANDOTA,jueves,BernardoA,88.6,Tarde,Inicio
GRANDOTA,jueves,BernardoA,91,Tarde,Inicio
GRANDOTA,jueves,BernardoA,90,Tarde,Inicio
GRANDOTA,jueves,BernardoA,92.4,Tarde,Inicio
GRANDOTA,jueves,BernardoA,89.8,Tarde,Inicio
GRANDOTA,jueves,BernardoA,91.4,Tarde,Inicio
GRANDOTA,jueves,BernardoA,91.4,Tarde,Inicio
GRANDOTA,jueves,MauricioM,92.4,Noche,Inicio
GRANDOTA,jueves,MauricioM,89.4,Noche,Inicio
GRANDOTA,jueves,MauricioM,90,Noche,Inicio
GRANDOTA,jueves,MauricioM,92.4,Noche,Inicio
GRANDOTA,jueves,MauricioM,86.6,Noche,Inicio
GRANDOTA,jueves,MauricioM,89.4,Noche,Inicio
GRANDOTA,jueves,MauricioM,93.2,Noche,Medio
GRANDOTA,jueves,MauricioM,88.6,Noche,Medio
GRANDOTA,jueves,MauricioM,89.8,Mañana,Inicio
GRANDOTA,jueves,MauricioM,87,Mañana,Inicio
GRANDOTA,jueves,MauricioM,89.2,Mañana,Inicio
GRANDOTA,jueves,MauricioM,86.2,Mañana,Inicio
GRANDOTA,jueves,BernardoA,88.4,Mañana,Inicio
GRANDOTA,jueves,BernardoA,88,Mañana,Inicio
GRANDOTA,jueves,BernardoA,88.2,Mañana,Inicio
GRANDOTA,jueves,BernardoA,86.8,Mañana,Inicio
GRANDOTA,jueves,BernardoA,89,Mañana,Inicio
GRANDOTA,jueves,BernardoA,91.8,Mañana,Inicio
GRANDOTA,jueves,BernardoA,91,Mañana,Inicio
GRANDOTA,jueves,BernardoA,88.6,Mañana,Medio
GRANDOTA,jueves,BernardoA,93.4,Mañana,Medio
GRANDOTA,jueves,BernardoA,89.4,Mañana,Medio
GRANDOTA,jueves,BernardoA,93.6,Mañana,Medio
GRANDOTA,jueves,BernardoA,94.2,Mañana,Término
GRANDOTA,jueves,BernardoA,91.4,Mañana,Término
GRANDOTA,jueves,BernardoA,90.8,Mañana,Término
GRANDOTA,jueves,BernardoA,89.2,Mañana,Término
GRANDOTA,jueves,BernardoA,89.4,Mañana,Término
GRANDOTA,jueves,DivisorA,88.8,Tarde,Inicio
GRANDOTA,jueves,DivisorA,86.8,Tarde,Inicio
GRANDOTA,jueves,DivisorA,88.4,Tarde,Inicio
GRANDOTA,jueves,DivisorA,90,Tarde,Inicio
GRANDOTA,jueves,DivisorA,89.2,Tarde,Inicio
GRANDOTA,jueves,DivisorA,87.2,Tarde,Inicio
GRANDOTA,jueves,DivisorA,91.2,Tarde,Inicio
GRANDOTA,jueves,DivisorA,92,Tarde,Inicio
GRANDOTA,jueves,DivisorA,86.6,Tarde,Inicio
GRANDOTA,jueves,DivisorA,90.4,Tarde,Inicio
GRANDOTA,jueves,DivisorA,90.2,Tarde,Inicio
GRANDOTA,jueves,DivisorA,89.4,Tarde,Inicio
GRANDOTA,jueves,DivisorA,90,Tarde,Inicio
GRANDOTA,jueves,DivisorA,89.4,Tarde,Inicio
GRANDOTA,jueves,DivisorA,88,Tarde,Inicio
GRANDOTA,jueves,DivisorA,90,Tarde,Inicio
GRANDOTA,jueves,DivisorA,89.2,Tarde,Inicio
GRANDOTA,jueves,DivisorA,87.8,Tarde,Inicio
GRANDOTA,jueves,DivisorA,88.6,Tarde,Inicio
GRANDOTA,jueves,DivisorA,91,Tarde,Medio
GRANDOTA,jueves,DivisorA,91.6,Tarde,Medio
GRANDOTA,jueves,DivisorA,89.2,Tarde,Medio
GRANDOTA,jueves,DivisorA,92.2,Tarde,Medio
GRANDOTA,jueves,DivisorA,93.8,Tarde,Medio
GRANDOTA,jueves,DivisorA,89.2,Tarde,Medio
GRANDOTA,jueves,DivisorA,92,Tarde,Medio
GRANDOTA,jueves,DivisorA,86.8,Tarde,Medio
GRANDOTA,jueves,DivisorA,91,Tarde,Medio
GRANDOTA,jueves,DivisorA,89.6,Tarde,Medio
GRANDOTA,jueves,DivisorA,91.4,Tarde,Medio
GRANDOTA,jueves,DivisorA,92.4,Tarde,Medio
GRANDOTA,jueves,DivisorA,91,Tarde,Medio
GRANDOTA,jueves,DivisorA,90.4,Tarde,Término
GRANDOTA,jueves,DivisorA,92.8,Tarde,Término
GRANDOTA,jueves,DivisorA,91,Tarde,Término
GRANDOTA,jueves,DivisorA,89,Tarde,Término
GRANDOTA,jueves,DivisorA,88.6,Tarde,Término
GRANDOTA,jueves,DivisorA,89,Tarde,Término
GRANDOTA,jueves,DivisorA,92.8,Tarde,Término
GRANDOTA,jueves,DivisorA,90.2,Tarde,Término
GRANDOTA,jueves,DivisorA,92,Tarde,Término
GRANDOTA,jueves,DivisorA,88.4,Tarde,Término
GRANDOTA,jueves,DivisorA,91.4,Tarde,Término
GRANDOTA,jueves,DivisorA,89,Tarde,Término
GRANDOTA,jueves,DivisorA,92.2,Tarde,Término
GRANDOTA,jueves,DivisorA,89.4,Tarde,Término
GRANDOTA,viernes,Practicante,93.2,Mañana,Inicio
GRANDOTA,viernes,Practicante,93.8,Mañana,Inicio
GRANDOTA,viernes,Practicante,92,Mañana,Inicio
GRANDOTA,viernes,Practicante,93.2,Mañana,Inicio
